zip_file,internal_csv_path,file_name,schema_fingerprint,raw_row_count,normalized_row_count,dropped_blank_row_count,invalid_cycle_index_count,invalid_charge_capacity_count,invalid_discharge_capacity_count,invalid_charge_energy_count,invalid_discharge_energy_count,metadata_join_status,load_status,load_message
Michigan Formation.zip,Michigan Formation/MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,schema_63d0cb98b657,531,531,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,schema_63d0cb98b657,614,614,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,schema_63d0cb98b657,471,471,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,schema_63d0cb98b657,573,573,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,schema_63d0cb98b657,573,573,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,schema_63d0cb98b657,531,531,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,schema_63d0cb98b657,573,573,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_cycle_data.csv,MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_cycle_data.csv,schema_63d0cb98b657,569,569,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a_cycle_data.csv,OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a_cycle_data.csv,schema_d2669a99bc63,78,78,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b_cycle_data.csv,OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b_cycle_data.csv,schema_d2669a99bc63,73,73,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c_cycle_data.csv,OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c_cycle_data.csv,schema_d2669a99bc63,76,76,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d_cycle_data.csv,OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d_cycle_data.csv,schema_d2669a99bc63,47,47,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e_cycle_data.csv,OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e_cycle_data.csv,schema_d2669a99bc63,46,46,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-6_pouch_LCO_40C_0-100_2-1.84C_f_cycle_data.csv,OX_1-6_pouch_LCO_40C_0-100_2-1.84C_f_cycle_data.csv,schema_d2669a99bc63,46,46,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-7_pouch_LCO_40C_0-100_2-1.84C_g_cycle_data.csv,OX_1-7_pouch_LCO_40C_0-100_2-1.84C_g_cycle_data.csv,schema_d2669a99bc63,77,77,0,0,0,0,0,0,matched,success,
Oxford.zip,Oxford/OX_1-8_pouch_LCO_40C_0-100_2-1.84C_h_cycle_data.csv,OX_1-8_pouch_LCO_40C_0-100_2-1.84C_h_cycle_data.csv,schema_d2669a99bc63,76,76,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-1C_a_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-1C_a_cycle_data.csv,schema_d2669a99bc63,4550,4550,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-1C_b_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-1C_b_cycle_data.csv,schema_d2669a99bc63,3554,3554,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-2C_a_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-2C_a_cycle_data.csv,schema_d2669a99bc63,3760,3760,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-2C_b_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-2C_b_cycle_data.csv,schema_d2669a99bc63,3753,3753,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-0.5C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,3051,3051,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_a_cycle_data.csv,schema_d2669a99bc63,3546,3546,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_b_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_b_cycle_data.csv,schema_d2669a99bc63,3549,3549,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_c_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_c_cycle_data.csv,schema_d2669a99bc63,3037,3037,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_d_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_d_cycle_data.csv,schema_d2669a99bc63,3037,3037,0,0,0,0,0,0,matched,success,
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-2C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-2C_a_cycle_data.csv,schema_d2669a99bc63,3543,3543,0,0,0,0,0,0,matched,success,
