reduced_formula_group,row_count,unique_material_id_count,unique_descriptor_vector_count,target_min,target_median,target_max,target_range,target_mean,target_std,target_mad,target_zero_count,mixed_zero_positive_status,theoretical_false_count,theoretical_true_count,polymorph_count,ambiguity_flag
Li2Fe2Si2O9,2,2,1,0.1097425069592539,0.11338064337592074,0.1170187797925876,0.007276272833333694,0.11338064337592074,0.003638136416666847,0.003638136416666847,0,not_mixed,0,2,2,True
Fe7SiO10,2,2,1,0.0781741813888921,0.08138043083333635,0.0845866802777806,0.006412498888888507,0.08138043083333635,0.0032062494444442535,0.0032062494444442535,0,not_mixed,1,1,2,True
MgZn2Fe2(SiO5)2,2,2,1,0.1118926336274475,0.11491548421568296,0.1179383348039184,0.006045701176470894,0.11491548421568296,0.003022850588235447,0.003022850588235447,0,not_mixed,0,2,2,True
NaFe2(SiO3)4,2,2,1,0.0681966926754427,0.07081481372807416,0.0734329347807056,0.005236242105262898,0.07081481372807416,0.002618121052631449,0.002618121052631449,0,not_mixed,0,2,2,True
Fe4SiO9,4,4,1,0.1987891969047623,0.20114491166666726,0.2020731304761902,0.003283933571427894,0.20078803767857176,0.0012938413353275773,0.0007792592857142899,0,not_mixed,0,4,4,True
MgFeSiO4,2,2,1,0.0,0.0015287414285714,0.0030574828571428,0.0030574828571428,0.0015287414285714,0.0015287414285714,0.0015287414285714,1,mixed_zero_positive,0,2,2,True
MgFe4Si2Sn7O16,2,2,1,0.1843719095000038,0.1858310251666708,0.1872901408333378,0.0029182313333340204,0.1858310251666708,0.0014591156666670102,0.0014591156666670102,0,not_mixed,0,2,2,True
LiFe2(SiO4)2,3,3,1,0.1187467016752119,0.1198476623162383,0.1216528601367512,0.002906158461539299,0.12008240804273379,0.0011979895430748527,0.0011009606410263967,0,not_mixed,0,3,3,True
ScFeSi2,2,2,1,0.0368305897916689,0.03825083781250165,0.0396710858333344,0.0028404960416655023,0.03825083781250165,0.0014202480208327511,0.0014202480208327511,0,not_mixed,2,0,2,True
MgFeSiO5,2,2,1,0.1415673322916602,0.14294944447916036,0.1443315566666605,0.002764224375000318,0.14294944447916036,0.001382112187500159,0.001382112187500159,0,not_mixed,0,2,2,True
NaCaFe2(SiO3)4,2,2,1,0.0065704228749989,0.0075774994999985995,0.0085845761249983,0.0020141532499994,0.0075774994999985995,0.0010070766249997,0.0010070766249997,0,not_mixed,0,2,2,True
