split_strategy,model_variant,stratum_type,stratum_value,row_count,coverage,mae,median_absolute_error,rmse,bias,spearman,negative_prediction_rate
reduced_formula_group,ridge_log1p,chemical_system_novelty,chemical_system_seen,1406,0.8434313137372526,0.12717540059811436,0.057401991775678354,0.4798740994074059,-0.030912785799623636,0.39886783853829305,0.03058321479374111
reduced_formula_group,ridge_log1p,chemical_system_novelty,chemical_system_unseen,261,0.15656868626274745,0.08536198067496666,0.05826142670645,0.1323954171497669,-0.004481881111331076,0.3550537300821176,0.11494252873563218
reduced_formula_group,ridge_raw,chemical_system_novelty,chemical_system_seen,1406,0.8434313137372526,0.15533332899269467,0.07966209135502166,0.48260404866689527,0.002531519401013988,0.34629755159628145,0.06258890469416785
reduced_formula_group,ridge_raw,chemical_system_novelty,chemical_system_unseen,261,0.15656868626274745,0.10268647545432374,0.0723900412975409,0.1462602276228483,0.019627670085901733,0.2885310550825638,0.18007662835249041
chemical_system_group,dummy_median,formula_ambiguity,ambiguous_formula_group,730,0.45285359801488834,0.14399501432851627,0.0396877694893501,0.5782902082393828,-0.12934156545444267,-0.018910238807884897,0.0
chemical_system_group,dummy_median,formula_ambiguity,non_ambiguous_formula_group,4,0.0024813895781637717,0.050031498346355854,0.050031498346355854,0.05003149871450496,0.050031498346355854,,0.0
chemical_system_group,dummy_median,formula_ambiguity,singleton_formula_group,878,0.5446650124069479,0.06356938841332654,0.0478319587975872,0.142474770200118,-0.016410373950533616,-0.08489576241046161,0.0
chemical_system_group,histogram_gradient_boosting_log1p,formula_ambiguity,ambiguous_formula_group,730,0.45285359801488834,0.1485182109009972,0.0450774344838764,0.5783562917142747,-0.10327638574171853,0.03118305648864893,0.12602739726027398
chemical_system_group,histogram_gradient_boosting_log1p,formula_ambiguity,non_ambiguous_formula_group,4,0.0024813895781637717,0.0793145828376905,0.0793145828376905,0.08057788504464226,0.0793145828376905,,0.0
chemical_system_group,histogram_gradient_boosting_log1p,formula_ambiguity,singleton_formula_group,878,0.5446650124069479,0.06051529010228409,0.0380869643116275,0.1373708998339595,0.013967346491337239,0.48029948197775546,0.07403189066059225
chemical_system_group,histogram_gradient_boosting_raw,formula_ambiguity,ambiguous_formula_group,730,0.45285359801488834,0.15303619768658383,0.053424080946350955,0.5778080485026866,-0.1049064683258594,0.09171959597121639,0.26301369863013696
chemical_system_group,histogram_gradient_boosting_raw,formula_ambiguity,non_ambiguous_formula_group,4,0.0024813895781637717,0.1842717103903585,0.1842717103903585,0.18878974598766007,0.1842717103903585,,0.0
chemical_system_group,histogram_gradient_boosting_raw,formula_ambiguity,singleton_formula_group,878,0.5446650124069479,0.07021065721809891,0.0426492959700346,0.14714285987140205,0.024839783469747224,0.4131588978412647,0.11845102505694761
chemical_system_group,ridge_log1p,formula_ambiguity,ambiguous_formula_group,730,0.45285359801488834,0.14170368276930262,0.03885760190471025,0.5738725966621866,-0.10028627819457911,0.05447205313367562,0.01643835616438356
chemical_system_group,ridge_log1p,formula_ambiguity,non_ambiguous_formula_group,4,0.0024813895781637717,0.050549449308593425,0.0505494493085934,0.05110267731330394,0.050549449308593425,,0.0
chemical_system_group,ridge_log1p,formula_ambiguity,singleton_formula_group,878,0.5446650124069479,0.06872107607469856,0.05114427745305595,0.13907624275892588,0.007296494843015824,0.2728750965786459,0.07517084282460136
